Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Class
16;0,7243018;0,4535938;-0,9655277;0,2293726;-0,2698536;0,6018110;0,5777060;-0,6522107;0,1593839;0,8723295;0,6445227;-0,5995392;0,6589595;-0,1406120;0,8206818;0,3744864;0,0603877;-0,4459157;0,7738620;-0,5259517;0,2229977;0,5444594;-0,4250974;-0,1558818;-0,5746660;0,9096109;-0,9033712;0,1373703;521;1
6;-0,5167437;0,5900957;-0,4866574;0,0920934;0,7991169;-0,7615070;-0,4914317;0,8020406;-0,9817410;0,0765294;0,1231660;-0,7036420;0,0138384;0,2717677;0,7475000;0,0804952;-0,6595514;-0,4227180;0,4914664;0,0989245;0,7134503;0,3614765;-0,9575005;-0,5291573;-0,2313415;-0,9037574;-0,6986952;0,6405932;115;0
4;-0,9348270;-0,3397023;0,1500924;-0,9330693;-0,0637326;-0,2312815;-0,4214158;0,0797206;-0,3196847;0,9909285;0,9846469;0,2752176;0,1391859;0,7080173;-0,7416011;-0,4111957;-0,2551514;-0,5647309;0,8913479;0,4745592;0,1061225;-0,5908170;0,0657879;-0,0362669;-0,8431024;-0,9221851;0,0130339;-0,6653981;589;0
3;0,8147447;-0,3596244;0,5957314;0,0471289;0,6974610;0,9006905;-0,4427977;-0,0022787;0,7908485;-0,3618377;-0,0671522;-0,5176797;-0,7765228;0,2986466;-0,8774546;0,4122256;0,6409326;0,4726466;0,2514795;-0,0036542;-0,4390297;0,2030801;-0,2054955;0,9041814;0,6577939;-0,3082308;-0,0910173;-0,3516771;967;0
19;0,2145297;-0,1445668;0,3509369;-0,7409396;0,1491811;-0,3187218;-0,5202683;-0,5944060;0,0424067;0,6507181;-0,6618378;-0,6241938;-0,6444489;0,7697470;-0,6740765;0,0075041;-0,2733411;-0,3819264;0,6014648;-0,7528793;-0,5490510;-0,5052362;0,0951672;0,0735818;0,5675911;0,2197236;-0,1638360;0,7819805;247;1
6;-0,1969818;-0,0459971;0,0113531;0,4906200;-0,1459519;0,8315978;-0,0790902;-0,4060929;-0,7961884;-0,8070066;-0,7837535;0,7811289;-0,8762838;0,1047947;0,1187229;-0,3795769;0,0379735;-0,4735530;0,8614552;0,4554034;0,4754657;0,3968258;0,2997328;0,0783876;0,9175546;-0,2696508;0,9829846;-0,6590051;396;0
3;0,5687349;0,3359115;0,9504929;0,9639438;0,5303290;0,4757838;0,6060348;0,7968178;-0,2809047;-0,5773154;-0,4150015;-0,9702482;-0,9424763;0,1123865;0,1446081;0,0026387;0,8721326;-0,4160855;-0,1884687;-0,6724689;-0,4856702;0,1764729;-0,8671772;0,4677579;-0,2655321;0,6576493;0,3564927;-0,0562703;444;0
2;-0,9819901;-0,4395891;-0,0130620;-0,0728693;-0,9774275;-0,6343242;-0,1014048;-0,0179413;-0,9435565;0,2899256;-0,5184151;0,6937232;0,6554180;0,8179643;-0,3100213;-0,2715459;-0,6157031;0,4301480;-0,2665256;0,1070850;-0,1542937;0,7607646;-0,2585389;-0,0971023;-0,1385127;0,0923198;0,6159248;0,7281091;267;0
8;-0,1854830;0,8467455;-0,4123011;0,9269499;0,5141242;-0,8796332;-0,4772498;-0,6060596;0,0903818;-0,8507404;0,5859112;0,7939119;0,3753431;-0,7876923;0,1649295;-0,8071930;-0,1748077;0,5989782;-0,5076136;0,5318606;-0,5260823;0,3601479;-0,5931832;0,6831288;0,6310116;-0,0405460;0,8825350;0,4511901;583;0
4;0,9217018;-0,3703271;0,4597443;-0,6124942;-0,3007205;-0,0846222;-0,2473949;0,7593299;0,6864340;0,6885201;-0,1231436;0,3810561;-0,7925756;0,5309692;-0,6860529;-0,0080387;-0,7562338;0,1231677;0,2277629;-0,3936833;-0,6496410;0,5164183;-0,6912124;-0,8586679;0,4763047;-0,1160561;-0,2817617;-0,9997193;340;0
14;0,1747957;-0,0426341;0,8205484;0,2519634;-0,3947915;0,0844588;0,1588451;0,0464915;-0,5619523;0,1228738;-0,4311741;0,5457652;0,3271605;-0,5589681;0,3562857;-0,6456407;0,2178996;-0,5532770;-0,1588774;0,2947205;-0,6030780;0,5068868;-0,1153711;-0,5463502;-0,3351468;0,8274351;0,6195808;-0,8692752;17;0
15;0,5581718;0,5291094;0,9287700;0,2269649;0,1580558;0,4601500;0,2285883;-0,6091114;-0,7824549;0,3544558;-0,8463573;-0,9140886;-0,2643715;0,4163371;0,5778990;-0,6208388;-0,5184846;0,2130515;-0,7872530;-0,9102928;0,2935045;-0,4703899;-0,7436006;-0,1527679;-0,5441520;0,0658449;-0,8098974;0,1688237;956;0
20;-0,8813111;-0,8427444;0,2335252;0,1928658;-0,1003053;0,4234236;0,3621851;0,6019014;0,5574091;0,3876559;-0,7524974;0,1961833;-0,6739264;-0,9416266;-0,1348471;0,1983926;-0,2362909;-0,9594895;-0,8747698;0,9929104;0,8131397;-0,3537869;-0,8736335;0,4346749;0,1233973;0,6094926;-0,0677207;-0,9311254;643;0
19;0,2889982;-0,7217650;0,6751593;-0,4510710;0,5986308;-0,9567095;-0,3073893;-0,7237955;0,9135797;-0,4506235;-0,0984710;0,0950930;-0,6102328;0,9283921;-0,8722649;0,5835963;-0,9787356;0,7028518;-0,5436203;-0,2786324;-0,6370105;-0,1089820;0,0632968;-0,9500963;-0,7559048;0,3284058;-0,1101185;-0,2391536;57;0
5;0,0111272;-0,4350859;-0,7891263;-0,2633572;0,7146887;-0,1309904;-0,4288488;0,8942742;0,8160434;0,6734444;-0,6517274;0,5018565;-0,2839572;-0,8321384;0,9558519;-0,6554655;-0,4581166;-0,9131345;-0,5136837;0,7460390;-0,2757279;0,3929537;0,0640872;-0,4459240;0,6776753;-0,0434051;0,4417809;-0,6764353;550;1
4;-0,3046413;0,5508595;0,6228671;-0,4154468;-0,1208766;0,5296448;-0,3060147;-0,4927044;-0,0044624;-0,7484540;-0,0647551;0,9062077;-0,2659510;0,8361015;0,5327228;-0,2690148;0,5372224;-0,4495890;-0,6246497;0,3254733;0,7787105;-0,3721224;0,1039115;-0,5021180;-0,8683105;0,6136485;0,7937851;0,2606729;191;0
14;-0,0596961;0,5474415;0,1715002;0,6477977;-0,5995095;0,2975776;0,7691195;-0,7855886;-0,0971314;0,5496771;0,7633504;-0,6008331;-0,2028037;-0,0669552;0,7815783;-0,9388981;-0,9143304;0,4806519;0,9335156;-0,2858091;-0,8778721;0,2529995;0,3948689;0,8799563;0,2446847;0,3731741;0,4270783;-0,0475437;186;0
19;-0,1582828;-0,3971890;-0,6939374;0,0382518;-0,7930514;0,3000487;0,1722503;0,3973723;0,1993498;0,2747665;0,2931249;0,0822968;-0,0149086;0,7670609;-0,6031835;0,7101951;0,6868865;0,1918540;-0,7024496;0,8636615;0,4241762;0,8784249;0,0984547;0,0526596;-0,2945525;-0,9627469;0,9039618;-0,5919788;333;0
2;0,9820032;0,0628660;0,0218422;-0,0506365;-0,8153996;-0,8960429;-0,0310347;-0,6600850;0,3596080;-0,7068887;-0,4540036;0,1649097;-0,7152259;-0,8700989;0,5230866;0,6580349;-0,9631166;0,3333439;-0,3035307;0,1933449;0,4121180;-0,3616078;-0,9801430;0,2518059;0,9724472;-0,7730277;0,2432946;-0,4657129;568;0
0;0,1689724;0,4203424;0,1807321;0,0981165;-0,8533160;-0,7763871;-0,4095748;0,7257466;0,3102765;0,7384364;-0,8020857;-0,4988866;0,3606930;-0,2423937;-0,4145440;0,8430037;0,9321433;0,5415159;-0,0151013;-0,1007717;0,6932450;-0,4958470;-0,9837310;-0,0300349;0,8686682;0,5209568;0,5327485;0,2309812;157;0
1;-0,3546507;0,2340143;0,3888137;0,8703698;0,0781517;-0,6073175;0,2294869;0,5788658;0,6524197;0,4774625;0,9045425;-0,9048835;0,4165595;0,1816037;0,0522135;0,0160862;0,1570751;-0,5555368;-0,3101472;0,4558991;-0,6012071;-0,7197739;-0,2982529;-0,6829021;-0,0777111;-0,9646950;-0,1348209;0,4291350;1000;0
12;-0,9481178;-0,9003279;-0,5985863;-0,5022803;0,9885017;0,6144491;-0,5411935;-0,0577930;-0,6643471;0,9717306;-0,4932430;0,9745454;0,5429968;-0,6667158;0,9877477;-0,1392495;0,6140385;-0,8242467;0,8125321;0,3645936;-0,8947790;-0,7146607;-0,8611446;0,8672953;-0,6328122;-0,8735397;0,4963984;-0,6282399;963;1
13;-0,0989448;0,9832110;-0,6594745;-0,2038324;-0,3647982;-0,2988404;0,8670962;-0,5253139;0,2956467;0,8101919;0,8075435;0,1830258;0,7589116;-0,5550514;-0,6173104;-0,4691360;0,6010856;-0,3379360;0,2053927;0,2584228;-0,9828710;0,5052699;0,2446910;0,7029853;0,3445777;-0,6712292;0,4111527;0,5681452;570;0
11;-0,2961702;0,4270377;-0,1766450;0,8841484;-0,5247671;0,4794083;0,0480482;-0,6152408;0,5316643;0,4713933;-0,1573743;0,3767707;0,9808105;0,3374734;-0,5684188;-0,0897877;-0,3578822;-0,4391744;0,8074215;0,3520760;-0,8929515;-0,4431626;-0,7684554;-0,0321620;0,3169502;0,0343607;0,2423120;-0,8519032;767;1
6;-0,3931439;-0,0440829;-0,9903729;-0,0815310;0,6856931;-0,4593594;0,8078078;0,5443467;0,9154912;0,0518858;0,2422584;0,4511231;-0,1646185;-0,1282421;0,3158809;0,3599423;-0,7096011;0,6239755;0,6867143;-0,6983601;-0,6409114;0,1347514;0,8174500;-0,4797150;0,6155725;0,5128408;0,2354970;-0,2437755;208;0
10;-0,8438999;-0,8359387;0,5884083;-0,4066825;-0,7426756;0,1098162;-0,4576084;-0,1474096;-0,9729250;-0,5236470;-0,7987372;0,6639019;-0,7284719;-0,2814286;-0,1258803;0,3446250;0,2006526;0,3050109;0,7597284;0,3524383;-0,1680880;0,0534291;-0,9865390;-0,8024371;0,9544333;-0,9498801;0,1774814;0,4584777;856;0
2;-0,8924075;-0,8033421;-0,1781253;0,3906470;-0,2406528;-0,3860191;-0,7460721;-0,9964391;0,6136950;-0,4205374;0,9646103;0,3230237;-0,3900543;0,0715256;0,6099802;-0,9349868;0,6986594;-0,8661312;0,6376185;-0,8815435;0,0080210;-0,9560958;-0,0929295;0,5728038;0,3386740;0,6903890;-0,3712499;-0,2676906;929;0
4;-0,7955517;0,1132977;-0,8866478;0,9119891;0,4494355;0,7093074;-0,7020216;0,6448240;-0,5009092;0,7317471;-0,6593080;-0,1693049;-0,6053938;-0,0652832;-0,5373705;0,4308475;0,6860181;-0,8740880;0,8430084;0,6461302;-0,3875161;0,3492964;0,1904664;0,8226480;0,2515913;-0,4538864;0,9600002;0,3205480;780;0
11;-0,3238959;-0,4567088;-0,0385402;0,1793172;0,0138111;-0,6100273;-0,1254052;-0,1738585;0,9616837;-0,4142953;-0,8128065;-0,5574869;-0,6386567;0,4227824;0,5939903;0,8999729;-0,1190734;-0,1772023;-0,5357888;0,4277787;0,6859179;0,0846734;0,0225042;0,9576109;-0,8103651;-0,8120280;0,2468737;-0,2456229;656;0
12;-0,2071587;-0,5870668;-0,5723521;-0,6374428;-0,8087406;-0,4955456;0,1517125;-0,4680037;-0,5587397;-0,2125710;0,5784534;0,0772391;0,0439988;-0,6713545;0,3832583;-0,9954413;-0,4293032;-0,3784218;-0,2983550;-0,6530620;0,3326286;-0,1479424;0,0752574;-0,5801989;0,0579780;-0,6795484;0,0982287;0,6078536;828;0
19;0,0810625;-0,9308501;-0,6649003;0,4973128;-0,1914282;0,6225420;0,9741205;-0,9376251;0,8741355;-0,9496223;-0,4235318;0,4762345;0,3038781;0,2918178;0,4517947;0,1212359;0,3421148;-0,2097630;-0,5986386;-0,4282791;-0,2039326;-0,9357762;-0,9680090;-0,1842556;-0,6485623;0,4020719;-0,9161016;0,3897827;422;0
4;0,9181070;0,9586185;-0,5137976;-0,6922359;-0,2142349;0,3216673;0,3615821;-0,8210780;0,4840930;0,0245069;0,7763022;-0,9912416;-0,7754341;-0,5787579;0,1025726;0,2705080;-0,9650498;-0,7596651;0,9381212;-0,0249876;-0,0195623;-0,5799705;0,0028048;0,2859142;0,3466573;-0,7076463;0,8910406;0,7861043;439;0
14;-0,8363594;-0,0069874;-0,9608587;-0,0171147;-0,1667342;-0,0280942;-0,7991351;0,2059799;-0,1917984;0,0936066;-0,4126735;0,3678503;0,6560885;0,2239333;0,0238681;0,3429883;0,6293780;0,7105841;-0,6090688;-0,3500857;0,3724294;0,7485198;0,2341175;0,4155273;0,2918197;0,5376475;0,9872457;0,3656085;317;0
14;-0,8405462;-0,5827253;0,5853842;-0,3935898;0,2757106;0,6833885;-0,0911069;0,6196964;-0,6734269;-0,4118636;0,3859628;-0,4710661;0,4319649;-0,3893078;-0,1183156;0,0484080;-0,4263079;-0,6097918;0,2084969;-0,7873032;-0,0982800;-0,4574035;0,5820744;0,4566785;-0,1003101;-0,2132858;-0,6651326;-0,7669130;655;1
16;-0,9923288;-0,1368932;-0,5351548;-0,0816243;-0,7275083;0,7750957;-0,9458245;-0,1788159;0,1549564;-0,5207828;0,7371291;0,5113697;-0,0821447;-0,3189634;0,5835556;0,3157610;0,8482628;-0,5212590;0,0941302;0,9928353;-0,5861969;-0,8812468;-0,9004980;-0,5432639;0,9442570;-0,6377616;0,7776717;0,7868885;176;0
18;-0,8535726;-0,0293607;-0,1326494;-0,5891941;-0,0530473;-0,4640841;-0,1538289;0,1078562;-0,1635227;-0,8131846;0,7728872;-0,1953044;-0,9056852;-0,7516603;-0,1387348;-0,5867843;0,7150321;-0,2023854;0,9512838;0,0132489;-0,4219855;-0,5634447;0,2419923;-0,4826614;0,3617106;0,7929833;0,5899931;-0,1156944;628;0
7;0,3955588;-0,7733272;0,2358297;-0,1347171;0,4258265;0,9745563;-0,6251386;-0,2284016;-0,3408496;0,1621454;-0,7023850;-0,8802327;-0,5255532;-0,1148290;0,5573789;-0,4837715;-0,8266231;-0,9668098;0,0890554;0,6642176;-0,9358646;0,4969351;0,3889393;0,9328431;0,2695044;0,8546063;0,7661225;0,0653103;463;0
6;0,0386046;0,9965485;0,0440926;0,6650795;-0,8759533;-0,6341106;-0,6410263;0,9499552;-0,4819553;0,2901030;-0,0963484;-0,1697415;-0,6455184;0,1425374;-0,6617661;0,1608436;-0,5618425;0,2573816;0,7366268;0,3370121;-0,1070627;-0,8557716;0,5667906;0,4405152;-0,6878537;-0,5666720;0,9206160;-0,9661753;892;1
7;0,9061856;0,5692311;0,9063915;0,4695522;-0,9741732;-0,1623486;0,0468513;0,1241299;-0,0903798;-0,5389061;0,0226309;0,6426197;0,2096925;0,4057252;0,4320958;-0,5069603;0,6259278;-0,2381896;-0,0885014;0,9885151;0,0797903;-0,2995228;-0,4982910;-0,1640714;-0,7681655;-0,6119942;-0,5585999;0,2510515;1000;1
0;0,0230783;0,8889405;-0,4811452;-0,0359878;-0,1528101;-0,3611170;0,9317863;0,3895561;-0,4091151;-0,7801986;-0,1533522;0,2066587;-0,7362665;-0,8994865;-0,2953545;-0,8598449;-0,6686207;0,7433265;0,5814958;-0,6668060;0,2838151;0,7808786;-0,7568027;-0,9902734;0,0056877;0,2422032;0,9112991;0,5077280;987;0
15;0,7999832;-0,4184403;0,8318697;-0,6698895;-0,6513717;0,5654834;0,0036951;-0,5297586;0,9071187;-0,1559013;0,6051755;0,5348513;0,8915816;0,1769148;0,1946965;0,4678000;-0,1112012;-0,5066471;0,9519720;0,4226197;-0,3288723;0,9925987;-0,9667907;-0,1973997;0,2423060;0,8345590;-0,9177911;0,0110166;902;0
2;-0,8753926;-0,2194526;-0,6586294;0,9126612;0,9841750;0,8519876;0,4039577;0,1261556;0,5709311;-0,7676693;0,8684643;-0,6988885;-0,6971430;0,3856376;0,8132537;-0,7282284;0,6879252;0,0017495;0,2171556;0,0999964;-0,7052600;-0,7398368;0,5157309;0,7173737;0,2699802;-0,3514620;0,0721189;0,9118528;493;0
18;-0,9331322;0,0273983;0,0276319;-0,3622985;-0,5888880;-0,9428908;0,8109086;0,3172924;-0,1577111;-0,0900621;0,3964398;0,5820260;0,8720014;-0,5643471;-0,6679048;-0,3933162;0,1802913;0,7100946;-0,5223365;-0,8247758;-0,3874419;0,1930501;0,4485019;-0,4987057;-0,3564806;0,7995901;0,3846188;0,4498790;418;0
4;-0,7505438;0,6568248;-0,7469394;-0,9917162;-0,6183078;0,7232692;0,7276733;0,3223459;0,0299758;0,7469971;0,9903743;0,3134087;0,8741704;-0,6939244;-0,0133993;-0,3650663;0,6343958;-0,7654239;-0,4448765;0,4059619;0,2798730;-0,3436018;0,1321606;0,2171493;-0,0713825;-0,1469440;-0,2408186;-0,1685823;655;0
12;0,2331762;0,6885017;-0,8545800;0,1307725;0,9938142;-0,5500080;-0,6181613;-0,4997366;0,0508677;-0,3698440;-0,8677507;-0,6354496;0,2644587;0,0283780;0,2659919;0,0383373;-0,1428704;-0,0416639;-0,3870712;0,4989574;0,0147763;0,2433141;0,9612378;-0,3546866;0,5865201;-0,9920368;-0,3989755;0,5961123;541;0
20;0,2993261;0,1255355;0,6330024;0,0732922;0,3994958;-0,0135364;-0,7202831;-0,9657145;-0,5349724;0,4205651;0,5435678;0,5511859;-0,9082516;0,1538822;0,2560398;-0,7274146;0,7486579;0,1271178;-0,4214584;-0,0545820;-0,6771512;0,9678532;0,2382091;0,6920397;-0,6877044;0,7601652;0,5331354;0,7623563;239;0
0;-0,9900223;-0,5015224;-0,1784999;-0,7260802;-0,0809714;-0,4700159;-0,7108573;-0,7436059;-0,2906245;-0,8265297;0,5744317;-0,8292457;-0,7857241;0,6169349;-0,2974872;-0,6760816;-0,7928374;-0,4263789;-0,2734802;-0,5209777;0,5793215;0,9714547;-0,4159572;0,1349028;-0,3312984;0,3512198;-0,5417398;0,9617049;419;0
12;0,2002046;-0,2576421;-0,1685247;0,4141838;0,0006140;-0,8517382;0,1836016;-0,0565788;0,9938433;-0,8966309;0,5759665;-0,6198232;-0,8001302;0,4563027;0,4212177;-0,2568714;-0,6223583;0,5296876;-0,1378376;0,7923338;-0,8951683;0,1634765;-0,6534319;-0,3944605;0,3869664;0,2085260;-0,0853215;0,7599395;739;0
4;0,1645807;0,5794687;-0,3576889;0,8329118;-0,8897231;-0,5783191;-0,7368370;0,2595677;0,6429787;0,8140306;0,3401315;0,8070591;0,0272114;0,4456679;-0,5853285;-0,2838546;0,4727116;-0,2494611;0,6120734;0,8841972;-0,6922442;0,7841591;0,8783325;0,6567384;0,5403369;-0,4738806;0,8513366;0,3295665;757;0
1;-0,4993651;-0,4864187;0,3071098;-0,1406614;-0,4952715;0,5265867;0,7121716;-0,0899651;-0,1406541;-0,4525534;0,7604098;0,5988511;0,8765915;-0,9555898;-0,4248140;0,1889967;0,0461985;-0,2073362;0,6608571;0,6691233;0,1295075;-0,3791925;0,7312023;-0,8204054;0,5861084;0,8337715;0,7988303;-0,3534504;229;0
3;-0,9743113;-0,3093892;-0,1361328;-0,3605319;0,5244593;-0,9495006;-0,0120105;0,1447338;0,0057687;-0,5282808;-0,1230459;0,1590673;-0,9127099;0,8453358;-0,4296273;0,5710723;-0,3212176;0,7207599;0,6191994;-0,4267720;0,4935347;-0,1581106;-0,8874704;0,5568249;0,5403971;0,3263365;0,6309204;-0,6165260;37;0
17;0,3187530;-0,1029676;0,6003117;0,2850670;-0,4955091;0,8364568;0,1703470;-0,3235531;-0,1699965;-0,5360877;-0,6629978;0,4493999;0,2333493;0,5535535;-0,9993453;0,2007575;-0,1661117;-0,0710154;-0,4879003;-0,3463466;-0,0290162;0,2032491;0,7183552;-0,9807384;-0,0191092;-0,1116478;-0,6580308;-0,2129757;118;0
4;-0,9823927;-0,4147371;0,0172912;0,0661323;0,1377847;0,7779591;0,2259478;-0,4059659;0,4367264;0,4163758;-0,6594304;0,2413302;-0,5779277;-0,2588733;-0,6646049;0,1302048;-0,6236203;0,6759120;-0,8920444;0,6933342;-0,9932815;0,2590199;-0,5794116;-0,1141322;-0,7937170;-0,9821260;0,9295200;-0,2156063;5;0
20;-0,4472782;-0,3918410;0,1743010;0,3252076;0,9163653;0,7150748;0,7590177;0,4693550;-0,8858281;-0,7143176;0,8991714;0,8693527;-0,4962824;0,2431710;0,7206311;-0,1628740;-0,6300835;0,4947479;0,7101437;-0,2469556;-0,4826918;0,0487558;-0,2472255;0,6709355;-0,3405550;-0,4982991;0,2464800;0,2040038;561;0
11;-0,8906290;-0,4657517;0,4254755;-0,4761738;0,4438267;-0,7247138;0,8234753;0,2862930;-0,7910019;0,7860542;-0,7705281;-0,9282037;-0,9700902;0,1203422;0,0700858;-0,9418705;-0,2080053;0,9314639;0,2829867;0,3682237;0,2126561;-0,2102977;0,8886912;-0,9543068;-0,8596421;-0,4842518;-0,8787464;0,2468190;834;0
17;0,7469389;0,0182803;-0,5070233;-0,5935545;0,7892573;-0,0629793;-0,3710185;0,0285940;-0,7650245;-0,0369910;-0,3522812;0,8166997;0,5218101;-0,5021936;-0,6455345;0,1005455;0,6168375;0,1260909;-0,6473628;-0,7577029;0,7225852;0,3732285;-0,2469452;-0,8558477;-0,9061364;0,4103699;0,9984179;0,7727978;386;0
11;0,6995822;0,6917211;-0,5195012;-0,8620439;0,2126400;0,1039510;0,0355666;-0,9679928;-0,4393440;0,9091335;-0,3253249;0,9344601;0,0619512;-0,1441159;0,4463388;0,8701942;0,3963537;0,1772024;-0,7564884;0,6479388;0,8331103;0,0958385;0,4888886;-0,7327724;-0,0178134;0,7842149;0,0179762;0,1739453;879;0
14;0,2023081;0,3424760;0,6221779;-0,6951933;-0,1755817;-0,4762955;-0,5410026;-0,3436592;0,9385988;-0,3760760;0,5263951;0,7775843;-0,9856646;-0,6144535;-0,1044704;-0,9877621;0,2189165;0,1372113;-0,7715812;-0,6292090;-0,5661082;-0,3028969;-0,8942394;-0,0133621;0,6857992;0,1916106;-0,3117816;-0,3278016;355;0
6;0,3729955;0,8570266;-0,5854127;0,0088581;0,0362461;0,7558289;-0,9749646;-0,7895232;0,1023673;-0,1695602;-0,1495914;-0,3296952;-0,7640856;-0,4451238;-0,4937824;0,2251277;-0,0828720;-0,6203311;0,1312959;-0,1679291;-0,2970108;-0,9161595;-0,7204505;0,2778127;0,5528847;0,0622628;-0,9589519;0,1085211;679;0
11;0,9709421;-0,8867790;-0,1601549;-0,0184553;0,5877856;-0,4692290;0,3633377;0,1710898;-0,8691455;-0,0921743;0,0349734;-0,0180098;-0,3004540;0,0974778;0,6195469;0,2514076;0,8034590;-0,5516574;-0,5780907;0,7416872;-0,7983054;0,4757043;-0,8592694;-0,9072010;0,9939928;0,8202784;0,5917674;-0,0664181;207;0
19;-0,9649832;-0,0823151;-0,9064251;0,5092502;0,6190686;-0,3987763;-0,0032279;0,5514806;-0,8762710;-0,2641263;0,1460649;0,3104122;0,6747911;0,8961374;-0,0585027;0,6989634;0,6369156;0,9014063;0,8356495;0,7271178;-0,6509851;-0,7575267;-0,0961918;0,3866093;-0,7324379;-0,1708975;-0,1359120;-0,9525613;38;0
9;-0,2977325;-0,4300103;0,0381166;0,8752229;0,8158840;0,8736505;0,1672495;-0,6627658;0,5379715;0,2443895;0,9836556;0,6588803;-0,0760873;0,2449381;-0,7289469;-0,3661563;-0,9863432;0,6898390;0,0064679;-0,7763846;-0,6765147;-0,3483037;0,9113196;0,6809222;0,0235444;0,8608308;-0,3307442;-0,8952048;38;0
18;0,4592316;-0,6670621;-0,0435346;0,7465592;0,1107926;-0,8717077;0,8013679;0,0826518;0,4794102;-0,9161374;0,0043822;-0,1525952;-0,7948101;-0,4263537;-0,5098380;-0,5672455;-0,2714270;0,1499324;0,7338564;-0,9335817;0,1342022;0,9194197;-0,9550086;0,6862888;0,8609777;0,8296275;0,7789592;0,9815889;424;0
